subject,block,trial,mu1,mu2,choice,reward,RT
4,9,4,9,-5,1,8,404
4,9,5,9,-5,1,9,387
4,9,6,9,-5,1,10,366
4,9,7,9,-5,1,9,479
4,9,8,9,-5,1,7,307
4,9,9,9,-5,1,10,355
4,9,10,9,-5,1,9,337
4,10,1,9,-4,2,-3,612
4,10,2,9,-4,1,8,371
4,10,3,9,-4,1,10,1073
4,10,4,9,-4,1,9,674
4,10,5,9,-4,1,9,462
4,10,6,9,-4,1,10,485
4,10,7,9,-4,1,8,550
4,10,8,9,-4,1,10,372
4,10,9,9,-4,1,9,382
4,10,10,9,-4,1,10,619
4,11,1,2,6,1,2,486
4,11,2,2,6,2,4,353
4,11,3,2,6,2,7,343
4,11,4,2,6,2,6,414
4,11,5,2,6,2,6,360
4,11,6,2,6,2,5,400
4,11,7,2,6,2,6,451
4,11,8,2,6,2,7,412
4,11,9,2,6,2,6,388
4,11,10,2,6,2,5,397
4,12,1,13,-8,1,12,484
4,12,2,13,-8,1,12,327
4,12,3,13,-8,1,13,1013
4,12,4,13,-8,1,14,296
4,12,5,13,-8,1,14,883
4,12,6,13,-8,1,13,596
4,12,7,13,-8,1,13,443
4,12,8,13,-8,1,13,437
4,12,9,13,-8,1,12,824
4,12,10,13,-8,1,13,364
4,13,1,-4,2,1,-6,565
4,13,2,-4,2,2,2,15
4,13,3,-4,2,2,2,289
4,13,4,-4,2,2,0,349
4,13,5,-4,2,2,2,378
4,13,6,-4,2,1,-4,15
4,13,7,-4,2,2,3,432
4,13,8,-4,2,2,1,761
4,13,9,-4,2,2,0,390
4,13,10,-4,2,2,2,356
4,14,1,-1,17,2,18,579
4,14,2,-1,17,2,16,304
4,14,3,-1,17,2,17,395
4,14,4,-1,17,2,17,495
4,14,5,-1,17,2,17,387
4,14,6,-1,17,2,17,1382
4,14,7,-1,17,2,16,623
4,14,8,-1,17,2,19,343
4,14,9,-1,17,2,19,356
4,14,10,-1,17,2,18,9
4,15,1,0,-4,2,-3,521
